Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count
2022/07/11 01:49:51.3112,21.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.66,13.75,28.7,14.93,2022/07/09,22:31:35,-51.1652232,71.1543371,436.902,12
2022/07/11 01:49:51.3376,21.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.6,13.2,28.9,14.75,2022/07/09,22:31:36,-51.1652305,71.1543398,437.891,12
2022/07/11 01:49:51.3636,21.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.63,12.94,29.2,14.47,2022/07/09,22:31:37,-51.1652419,71.1543396,438.625,12
2022/07/11 01:49:51.3898,21.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.31,12.69,29.7,14.13,2022/07/09,22:31:38,-51.1652442,71.1543409,438.946,12
2022/07/11 01:49:51.4156,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.47,12.57,30.2,13.86,2022/07/09,22:31:39,-51.1652358,71.1543419,438.739,12
2022/07/11 01:49:51.4379,21.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.41,12.53,30.7,13.72,2022/07/09,22:31:40,-51.1652041,71.1543461,438.363,12
2022/07/11 01:49:51.4530,21.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.31,12.48,31.1,13.51,2022/07/09,22:31:41,-51.1651546,71.1543517,438.589,12
2022/07/11 01:49:51.4930,21.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.42,12.46,31.5,13.35,2022/07/09,22:31:42,-51.1650918,71.154357,438.861,12
2022/07/11 01:49:51.5192,21.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.39,12.19,31.9,13.23,2022/07/09,22:31:43,-51.1650061,71.1543628,438.71,12
2022/07/11 01:49:51.5454,21.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.37,11.92,32,13.12,2022/07/09,22:31:44,-51.1648983,71.1543666,438.57,12
2022/07/11 01:49:51.5718,21.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.45,11.85,32.2,12.98,2022/07/09,22:31:45,-51.1647755,71.1543664,438.015,12
2022/07/11 01:49:51.5976,21.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.37,11.88,32.6,12.9,2022/07/09,22:31:46,-51.164625,71.1543677,438.715,12
2022/07/11 01:49:51.6236,21.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.1,11.91,33,12.77,2022/07/09,22:31:47,-51.1644542,71.1543678,441.731,11
2022/07/11 01:49:51.6497,21.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955.75,11.88,33.3,12.69,2022/07/09,22:31:48,-51.1642669,71.1543651,444.238,11
2022/07/11 01:49:51.6757,21.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955.59,12.03,33.8,12.63,2022/07/09,22:31:49,-51.1640731,71.1543636,444.75,12
2022/07/11 01:49:51.6873,21.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955.63,12.11,34.2,12.61,2022/07/09,22:31:50,-51.1638682,71.1543647,444.565,12
2022/07/11 01:49:51.7216,22.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955.63,12.09,34.4,12.59,2022/07/09,22:31:51,-51.1636531,71.1543652,444.639,12
2022/07/11 01:49:51.7536,22.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955.61,12.11,34.7,12.56,2022/07/09,22:31:52,-51.1634315,71.1543732,444.352,12
2022/07/11 01:49:51.7798,22.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955.6,12.12,34.9,12.52,2022/07/09,22:31:53,-51.1631962,71.1543884,444.741,12
2022/07/11 01:49:51.8064,22.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955.33,12.1,34.8,12.51,2022/07/09,22:31:54,-51.1629609,71.1544074,446.629,11
2022/07/11 01:49:51.8314,22.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.93,12.01,34.6,12.45,2022/07/09,22:31:55,-51.1627275,71.1544296,449.83,11
2022/07/11 01:49:51.8578,22.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.59,11.92,34.6,12.4,2022/07/09,22:31:56,-51.1625065,71.1544497,452.714,11
2022/07/11 01:49:51.8740,22.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.34,11.86,34.6,12.35,2022/07/09,22:31:57,-51.1622883,71.1544626,454.488,11
2022/07/11 01:49:51.9050,22.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.24,11.74,34.3,12.28,2022/07/09,22:31:58,-51.1620813,71.1544718,453.719,11
2022/07/11 01:49:51.9322,22.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.35,11.73,34.4,12.24,2022/07/09,22:31:59,-51.1618732,71.1544837,453.587,11
2022/07/11 01:49:51.9541,22.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.29,11.65,34.3,12.18,2022/07/09,22:32:00,-51.1616689,71.1544967,453.562,11
2022/07/11 01:49:51.9832,22.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.29,11.63,34.4,12.13,2022/07/09,22:32:01,-51.1614687,71.1545097,453.909,11
2022/07/11 01:49:52.0091,22.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.28,11.66,34.4,12.09,2022/07/09,22:32:02,-51.1612768,71.1545223,454.106,11
2022/07/11 01:49:52.0361,22.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.38,11.69,34.4,12.04,2022/07/09,22:32:03,-51.1610945,71.1545328,453.772,11
2022/07/11 01:49:52.0537,22.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.32,11.63,34.5,12,2022/07/09,22:32:04,-51.1609141,71.1545416,453.432,11
2022/07/11 01:49:52.0881,22.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.34,11.64,34.5,11.99,2022/07/09,22:32:05,-51.1607341,71.1545482,453.218,11
2022/07/11 01:49:52.1133,22.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.31,11.66,34.6,11.98,2022/07/09,22:32:06,-51.1605496,71.1545563,453.218,11
