Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2022/07/03 13:47:52.6507,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.4,13.43,44.1,14.52,2022/07/03,13:47:51,-161.2397377,79.7414348,20699.725,0,
2022/07/03 13:47:53.0151,0.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.88,18.56,31.8,21.6,2022/07/03,12:38:01,-51.2213275,71.1404668,-9.451,5,
2022/07/03 13:47:53.0409,0.390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.9,18.56,31.7,21.61,2022/07/03,12:38:02,-51.2213337,71.1404704,-8.651,5,
2022/07/03 13:47:53.0663,0.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.91,18.56,31.7,21.61,2022/07/03,12:38:03,-51.2213453,71.1404666,-7.891,5,
2022/07/03 13:47:53.0918,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.89,18.58,31.7,21.62,2022/07/03,12:38:04,-51.2213452,71.1404634,-8.26,5,
2022/07/03 13:47:53.1181,0.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.89,18.55,31.7,21.64,2022/07/03,12:38:05,-51.2213529,71.1404586,-7.371,5,
2022/07/03 13:47:53.1443,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.89,18.55,31.7,21.64,2022/07/03,12:38:06,-51.2213535,71.1404557,-6.116,5,
2022/07/03 13:47:53.1696,0.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.92,18.53,31.6,21.67,2022/07/03,12:38:07,-51.2213533,71.1404546,-5.377,5,
2022/07/03 13:47:53.1958,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.89,18.53,31.5,21.69,2022/07/03,12:38:08,-51.2213493,71.1404526,-5.354,5,
2022/07/03 13:47:53.2214,0.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.91,18.47,31.4,21.72,2022/07/03,12:38:09,-51.2213428,71.1404506,-5.727,5,
2022/07/03 13:47:53.2474,0.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.89,18.46,31.3,21.75,2022/07/03,12:38:10,-51.2213397,71.1404493,-5.811,5,
2022/07/03 13:47:53.2739,0.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.9,18.36,30.8,21.71,2022/07/03,12:38:11,-51.2213373,71.1404498,-6.238,5,
2022/07/03 13:47:53.3014,0.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.92,18.25,30.5,21.67,2022/07/03,12:38:11,-51.2213317,71.1404533,-5.908,6,
2022/07/03 13:47:53.3272,0.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.89,18.12,30.7,21.64,2022/07/03,12:38:12,-51.2213341,71.1404527,-5.36,6,
2022/07/03 13:47:53.3529,0.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.96,18.02,31,21.6,2022/07/03,12:38:13,-51.2213358,71.1404521,-4.783,6,
2022/07/03 13:47:53.3787,0.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.92,17.94,31.2,21.56,2022/07/03,12:38:14,-51.2213411,71.1404511,-4.376,6,
2022/07/03 13:47:53.4045,0.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.39,13.21,46.4,16.7,2022/07/03,13:04:38,-51.2239085,71.1396813,-356.681,4,
2022/07/03 13:47:53.4305,0.780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.39,13.02,45.2,16.73,2022/07/03,13:04:39,-51.220794,71.1414042,12.77,5,
2022/07/03 13:47:53.4572,0.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,13.28,46.2,16.79,2022/07/03,13:04:40,-51.2207666,71.1414133,15.351,5,
2022/07/03 13:47:53.4826,0.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.39,13.25,45.6,16.86,2022/07/03,13:04:41,-51.2207346,71.1414261,18.264,5,
2022/07/03 13:47:53.5080,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.41,13.35,46.5,16.96,2022/07/03,13:04:42,-51.2207074,71.1414289,20.505,5,
2022/07/03 13:47:53.5346,0.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,13.69,48.2,17.05,2022/07/03,13:04:43,-51.2207159,71.1414333,20.311,5,
2022/07/03 13:47:53.5604,0.910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.37,13.84,48,17.15,2022/07/03,13:04:44,-51.2207138,71.1414245,20.529,5,
2022/07/03 13:47:53.5867,0.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.41,14.18,46.8,17.24,2022/07/03,13:04:45,-51.2207289,71.1414321,19.996,5,
2022/07/03 13:47:53.6126,0.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.42,14.05,45.8,17.31,2022/07/03,13:04:46,-51.2207521,71.1414294,19.491,5,
2022/07/03 13:47:53.6391,0.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.35,13.8,45,17.35,2022/07/03,13:04:47,-51.2207759,71.1414218,18.622,5,
2022/07/03 13:47:53.6645,1.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,13.64,45.9,17.43,2022/07/03,13:04:48,-51.2207897,71.1414197,18.243,5,
2022/07/03 13:47:53.6754,1.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.42,13.83,45.3,17.54,2022/07/03,13:04:49,-51.2207995,71.1414154,17.763,5,
2022/07/03 13:47:53.7166,1.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.39,13.74,43.8,17.57,2022/07/03,13:04:50,-51.2208115,71.1414113,16.904,5,
2022/07/03 13:47:53.7420,1.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,13.67,43.9,17.61,2022/07/03,13:04:51,-51.2208204,71.1414076,16.335,5,
2022/07/03 13:47:53.7688,1.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.41,13.62,44.1,17.68,2022/07/03,13:04:52,-51.2208299,71.1414037,15.77,5,
2022/07/03 13:47:53.7953,1.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.38,13.77,44.9,17.75,2022/07/03,13:04:53,-51.220837,71.1414009,15.198,5,
2022/07/03 13:47:53.8209,1.170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.38,14.13,45.3,17.79,2022/07/03,13:04:54,-51.2208417,71.1413996,14.813,5,
2022/07/03 13:47:53.8469,1.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.42,13.7,44.1,17.75,2022/07/03,13:04:55,-51.2208417,71.1414,14.79,6,
2022/07/03 13:47:53.8721,1.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.41,13.16,43.9,17.69,2022/07/03,13:04:56,-51.220859,71.1413938,13.371,6,
2022/07/03 13:47:53.8990,1.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,12.91,43.8,17.65,2022/07/03,13:04:57,-51.2208623,71.1413922,13.074,6,
2022/07/03 13:47:53.9239,1.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.42,12.62,42.5,17.54,2022/07/03,13:04:58,-51.2208709,71.1413891,12.412,6,
2022/07/03 13:47:53.9500,1.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,12.24,42.9,17.53,2022/07/03,13:04:59,-51.2208783,71.1413856,11.811,6,
2022/07/03 13:47:53.9762,1.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.41,12.53,43.8,17.58,2022/07/03,13:05:00,-51.220886,71.1413828,11.173,6,
2022/07/03 13:47:54.0025,1.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.42,11.69,40.5,17.43,2022/07/03,13:05:01,-51.2208949,71.1413795,10.406,7,
2022/07/03 13:47:54.0285,1.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,11.61,41.1,17.45,2022/07/03,13:05:02,-51.2209007,71.141377,9.962,7,
2022/07/03 13:47:54.0551,1.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.39,12.05,42.8,17.5,2022/07/03,13:05:03,-51.2208993,71.1413778,10.122,7,
2022/07/03 13:47:54.0807,1.430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.43,12.47,44.7,17.56,2022/07/03,13:05:04,-51.2209094,71.1413742,9.485,7,
2022/07/03 13:47:54.1063,1.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.41,12.64,44.8,17.54,2022/07/03,13:05:05,-51.2209156,71.1413722,9.101,7,
2022/07/03 13:47:54.1324,1.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.39,12.7,46.6,17.56,2022/07/03,13:05:06,-51.2209241,71.1413694,8.48,7,
2022/07/03 13:47:54.1591,1.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.43,13.06,46,17.6,2022/07/03,13:05:07,-51.2209253,71.1413685,8.354,7,
2022/07/03 13:47:54.1746,1.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.41,13.21,46.7,17.65,2022/07/03,13:05:08,-51.2209256,71.1413699,8.476,7,
2022/07/03 13:47:54.2064,1.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.41,12.77,42.4,17.67,2022/07/03,13:05:09,-51.2209293,71.1413692,8.288,7,
2022/07/03 13:47:54.2323,1.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.39,12.35,40.6,17.69,2022/07/03,13:05:10,-51.2209282,71.1413702,8.579,7,
2022/07/03 13:47:54.2595,1.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.41,12.3,40.7,17.67,2022/07/03,13:05:11,-51.2209328,71.1413691,8.455,7,
2022/07/03 13:47:54.2852,1.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.42,12.04,40.8,17.57,2022/07/03,13:05:12,-51.2209358,71.1413668,8.174,7,
2022/07/03 13:47:54.3105,1.660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,11.93,42.4,17.5,2022/07/03,13:05:13,-51.2209353,71.1413665,8.218,7,
2022/07/03 13:47:54.3378,1.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,11.66,41.9,17.42,2022/07/03,13:05:14,-51.2209398,71.1413649,8.046,7,
2022/07/03 13:47:54.3626,1.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.41,12.12,45.9,17.43,2022/07/03,13:05:15,-51.2209495,71.1413605,7.506,7,
2022/07/03 13:47:54.3897,1.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.43,12.58,43.5,17.46,2022/07/03,13:05:16,-51.2209549,71.1413586,7.256,7,
2022/07/03 13:47:54.4150,1.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,12.22,41.2,17.43,2022/07/03,13:05:17,-51.2209554,71.1413584,7.314,7,
2022/07/03 13:47:54.4411,1.790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.38,12.44,43.3,17.49,2022/07/03,13:05:18,-51.2209627,71.1413527,7.147,7,
2022/07/03 13:47:54.4678,1.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.39,12.72,43.2,17.58,2022/07/03,13:05:19,-51.2209465,71.1413611,8.183,8,
2022/07/03 13:47:54.4931,1.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.41,13.06,43.7,17.65,2022/07/03,13:05:20,-51.2209411,71.1413637,8.438,8,
2022/07/03 13:47:54.5192,1.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.43,13.22,45.6,17.69,2022/07/03,13:05:21,-51.2209482,71.1413593,8.32,8,
2022/07/03 13:47:54.5456,1.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,13.51,47.2,17.75,2022/07/03,13:05:22,-51.2209535,71.141357,7.891,8,
2022/07/03 13:47:54.5709,1.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.39,13.63,46.2,17.82,2022/07/03,13:05:23,-51.2209583,71.141353,8.1,8,
2022/07/03 13:47:54.5966,1.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.44,13.5,43.9,17.84,2022/07/03,13:05:24,-51.2209739,71.1413486,7.73,8,
2022/07/03 13:47:54.6231,1.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.39,12.79,42.2,17.82,2022/07/03,13:05:25,-51.2209815,71.1413436,7.899,8,
2022/07/03 13:47:54.6458,1.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.44,12.5,43.3,17.79,2022/07/03,13:05:26,-51.2209872,71.1413423,7.46,8,
2022/07/03 13:47:54.6759,2.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.43,12.75,44.2,17.8,2022/07/03,13:05:27,-51.2209903,71.1413431,7.322,8,
