Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count
2022/07/11 01:51:18.6664,108.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.43,6.9,49.9,11.84,2022/07/10,20:25:00,-51.1465164,71.1549347,520.039,7
2022/07/11 01:51:18.6932,108.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.4,7.08,49.5,11.88,2022/07/10,20:25:01,-51.1465084,71.1549322,520.673,7
2022/07/11 01:51:18.7193,109.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.44,7.23,48.2,11.92,2022/07/10,20:25:02,-51.1465103,71.1549309,520.943,7
2022/07/11 01:51:18.7442,109.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.42,7.43,46.4,12.02,2022/07/10,20:25:03,-51.1465072,71.1549295,521.335,7
2022/07/11 01:51:18.7607,109.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.4,7.74,45.5,12.14,2022/07/10,20:25:04,-51.1465071,71.1549298,521.357,7
2022/07/11 01:51:18.7938,109.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.44,7.95,44.8,12.26,2022/07/10,20:25:05,-51.1465053,71.15493,521.073,7
2022/07/11 01:51:18.8060,109.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.43,8.02,44.2,12.4,2022/07/10,20:25:06,-51.1465026,71.15493,520.697,7
2022/07/11 01:51:18.8458,109.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.4,8.05,43.3,12.54,2022/07/10,20:25:07,-51.1465001,71.1549305,520.295,7
2022/07/11 01:51:18.8714,109.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.39,8.12,42.6,12.65,2022/07/10,20:25:08,-51.1464993,71.1549308,520.011,7
2022/07/11 01:51:18.8967,109.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.4,8.19,42.5,12.76,2022/07/10,20:25:09,-51.146499,71.1549314,519.617,7
2022/07/11 01:51:18.9229,109.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.41,8.1,42.1,12.85,2022/07/10,20:25:10,-51.1464993,71.1549323,519.276,7
